,benchmark,move_list
135,handstand-pushups,[u'Max reps']
136,king-kong,"[u'1 Deadlift 455 lbs', u'2 Muscle Ups', u'3 Squat Cleans 250 lbs', u'4 Handstand Pushups', u'3 rounds for time.']"
137,long-jump,[u'Max distance long jump from standing position. The distance should be noted in centimeters and measured as the length from toes to the first landing point.']
138,muscle-ups,[u'Max reps unbroken.']
139,nasty-girls,"[u'3 rounds for time of:', u'50 Squats', u'7 Muscle-ups', u'10 Hang Power Cleans 135 lbs']"
140,pull-ups,[u'Max reps']
141,push-ups,[u'Max reps']
142,dips,[u'Max reps']
143,strict-pull-ups,[u'Max reps strict pull-ups. No kip!']
144,tabata-something-else,"[u'Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises.', u'Score: total reps from all 32 intervals']"
145,tabata-this,"[u'Tabata Intervals ( 20 seconds of work followed by 10 seconds of rest repeated 8 times) is applied in turn to the Squat, Rower, Pullups, Sit-ups, and Push-ups with a one minute rotation break between exercises. Each exercise is scored by the weakest number of reps (calories on the rower) in each of the eight intervals. During the one minute rotation time allowed the clock is not stopped but kept running. The score is the total of the scores from the five stations.']"
146,other-total,"[u'The Other Total is the sum of the best of three attempts at the Clean, Bench-press and Overhead Squat.']"
